,from,to,distance_m,distance_km,duree_pied_min,duree_velo_min,duree_voiture_min
74,Theatre,Cafe Safsaf,3014,3.01,36.2,13.9,6.0
75,Theatre,Kobbet el Houwa,3337,3.34,40.0,15.4,6.7
76,Theatre,Cafe El Hafsi,3053,3.05,36.6,14.1,6.1
77,Theatre,Palais Ksar Ettej,2841,2.84,34.1,13.1,5.7
78,Theatre,Le Vieux Souk,2956,2.96,35.5,13.6,5.9
79,Theatre,Les vistiges de plage d'amilcar (carthage),1665,1.66,20.0,7.7,3.3
80,Theatre,Acropolium de Carthage,543,0.54,6.5,2.5,1.1
81,Parc des villas romaines,Theatre,249,0.25,3.0,1.1,0.5
82,Parc des villas romaines,Monastere de Bigua (maison de Tellus),55,0.06,0.7,0.3,0.1
83,Parc des villas romaines,Maison du Cryptoportique,82,0.08,1.0,0.4,0.2
84,Parc des villas romaines,Maison de la Basilique,160,0.16,1.9,0.7,0.3
85,Parc des villas romaines,Maison de la Volière,147,0.15,1.8,0.7,0.3
86,Parc des villas romaines,Maison de la Rotonde,144,0.14,1.7,0.7,0.3
87,Parc des villas romaines,Maison des Lions,233,0.23,2.8,1.1,0.5
88,Parc des villas romaines,Nécropole punique (Parc des villas romaines),101,0.1,1.2,0.5,0.2
89,Parc des villas romaines,Nymphée,15,0.02,0.2,0.1,0.0
90,Parc des villas romaines,Muraille de Thedose,395,0.39,4.7,1.8,0.8
91,Parc des villas romaines,Parc des thermes d'Antonin,318,0.32,3.8,1.5,0.6
92,Parc des villas romaines,Chapelle d’Asterius,269,0.27,3.2,1.2,0.5
93,Parc des villas romaines,Four punique,213,0.21,2.6,1.0,0.4
94,Parc des villas romaines,Maison de la cachette,168,0.17,2.0,0.8,0.3
95,Parc des villas romaines,Tombe de la Nécropole punique,290,0.29,3.5,1.3,0.6
96,Parc des villas romaines,Basiliques byzantines,207,0.21,2.5,1.0,0.4
97,Parc des villas romaines,Scholla,248,0.25,3.0,1.1,0.5
98,Parc des villas romaines,Maison de Dionysos,242,0.24,2.9,1.1,0.5
99,Parc des villas romaines,Nécropole punique (Parc des thermes d'antonin),291,0.29,3.5,1.3,0.6
100,Parc des villas romaines,Thermes d'Antonin,374,0.37,4.5,1.7,0.7
101,Parc des villas romaines,Latrines publiques,375,0.38,4.5,1.7,0.8
102,Parc des villas romaines,Quartier Magon,579,0.58,7.0,2.7,1.2
103,Parc des villas romaines,Tophet,1842,1.84,22.1,8.5,3.7
104,Parc des villas romaines,Ports puniques,1526,1.53,18.3,7.0,3.1
105,Parc des villas romaines,Port militaire,1417,1.42,17.0,6.5,2.8
106,Parc des villas romaines,Port marchand,1591,1.59,19.1,7.3,3.2
107,Parc des villas romaines,Ilot de l’Amirauté,1382,1.38,16.6,6.4,2.8
108,Parc des villas romaines,Temple,1397,1.4,16.8,6.4,2.8
109,Parc des villas romaines,Hangar,1404,1.4,16.9,6.5,2.8
110,Parc des villas romaines,Colline de Byrsa,834,0.83,10.0,3.9,1.7
111,Parc des villas romaines,Bibliotheque Tabularium,816,0.82,9.8,3.8,1.6
112,Parc des villas romaines,Temple prostyle,856,0.86,10.3,3.9,1.7
113,Parc des villas romaines,Grand Temple d'Esculape (d'Eshmoun),776,0.78,9.3,3.6,1.6
114,Parc des villas romaines,Emplacement probable de la Basilique judiciaire,685,0.69,8.2,3.2,1.4
115,Parc des villas romaines,"Absides ""Beule"" en contrebas",672,0.67,8.1,3.1,1.3
116,Parc des villas romaines,Tombeaux puniques,850,0.85,10.2,3.9,1.7
117,Parc des villas romaines,Musee national,725,0.73,8.7,3.3,1.5
118,Parc des villas romaines,Tombeau punique (Ariche),813,0.81,9.8,3.8,1.6
119,Parc des villas romaines,Emplacement de la Chapelle Saint Louis,686,0.69,8.2,3.2,1.4
120,Parc des villas romaines,Emplacement probable de la curie,808,0.81,9.7,3.7,1.6
121,Parc des villas romaines,Quartier Punique (Quartier Hannibal),787,0.79,9.4,3.6,1.6
122,Parc des villas romaines,Cathedrale Saint Louis,787,0.79,9.4,3.6,1.6
123,Parc des villas romaines,Beit El Hikma,560,0.56,6.7,2.6,1.1
124,Parc des villas romaines,Musee Oceanographique (Dar El Hout),1562,1.56,18.7,7.2,3.1
125,Parc des villas romaines,Amphitheatre De  Carthage,1439,1.44,17.3,6.6,2.9
126,Parc des villas romaines,Basilique Damous Karita,554,0.55,6.7,2.6,1.1
127,Parc des villas romaines,Rotonde ( Rotonde de Damous El Karita),485,0.48,5.8,2.2,1.0
128,Parc des villas romaines,Basilique Maiorum,1232,1.23,14.8,5.7,2.5
129,Parc des villas romaines,Basilique Saint Cyprien,986,0.99,11.8,4.6,2.0
130,Parc des villas romaines,Musee Paleochretien Basilique de Cartagena,1067,1.07,12.8,4.9,2.1
131,Parc des villas romaines,Citernes de la Malaga,1128,1.13,13.5,5.2,2.3
132,Parc des villas romaines,Cirque,1571,1.57,18.9,7.3,3.1
133,Parc des villas romaines,Edifice à colonnes (Jockey club de Carthage),508,0.51,6.1,2.3,1.0
134,Parc des villas romaines,Maison de la chasse aux sangliers,293,0.29,3.5,1.4,0.6
135,Parc des villas romaines,Odeon,244,0.24,2.9,1.1,0.5
136,Parc des villas romaines,Mosquée Imam Malek Ibn Anas,317,0.32,3.8,1.5,0.6
137,Parc des villas romaines,Monument circulaire,391,0.39,4.7,1.8,0.8
138,Parc des villas romaines,Monument circulaire(Martyrium),308,0.31,3.7,1.4,0.6
139,Parc des villas romaines,Basilique chretienne,382,0.38,4.6,1.8,0.8
140,Parc des villas romaines,Triconque,337,0.34,4.0,1.6,0.7
141,Parc des villas romaines,Basilique Bir Ftouha,1391,1.39,16.7,6.4,2.8
142,Parc des villas romaines,Maison de la course de chars,458,0.46,5.5,2.1,0.9
143,Parc des villas romaines,Monument a absides,470,0.47,5.6,2.2,0.9
144,Parc des villas romaines,Basilique Bir Messaouda,753,0.75,9.0,3.5,1.5
145,Parc des villas romaines,Quartier Didon,675,0.68,8.1,3.1,1.4
146,Parc des villas romaines,Temple d'Apollon,700,0.7,8.4,3.2,1.4
147,Parc des villas romaines,Citernes Dar Saniet,1281,1.28,15.4,5.9,2.6
148,Parc des villas romaines,Crypte archeologique,590,0.59,7.1,2.7,1.2
149,Parc des villas romaines,Chapelle sainte monique,892,0.89,10.7,4.1,1.8
150,Parc des villas romaines,Palais Essaada,2647,2.65,31.8,12.2,5.3
151,Parc des villas romaines,Palais Abdellia,2690,2.69,32.3,12.4,5.4
152,Parc des villas romaines,Arrondissement de la Marsa Medina,3103,3.1,37.2,14.3,6.2
153,Parc des villas romaines,Palais Ahmed Bey,2978,2.98,35.7,13.7,6.0
154,Parc des villas romaines,Cafe Houas,2951,2.95,35.4,13.6,5.9
155,Parc des villas romaines,Cafe Safsaf,2971,2.97,35.7,13.7,5.9
156,Parc des villas romaines,Kobbet el Houwa,3278,3.28,39.3,15.1,6.6
157,Parc des villas romaines,Cafe El Hafsi,2997,3.0,36.0,13.8,6.0
158,Parc des villas romaines,Palais Ksar Ettej,2801,2.8,33.6,12.9,5.6
159,Parc des villas romaines,Le Vieux Souk,2912,2.91,34.9,13.4,5.8
160,Parc des villas romaines,Les vistiges de plage d'amilcar (carthage),1481,1.48,17.8,6.8,3.0
161,Parc des villas romaines,Acropolium de Carthage,779,0.78,9.3,3.6,1.6
162,Monastere de Bigua (maison de Tellus),Theatre,303,0.3,3.6,1.4,0.6
163,Monastere de Bigua (maison de Tellus),Parc des villas romaines,55,0.06,0.7,0.3,0.1
164,Monastere de Bigua (maison de Tellus),Maison du Cryptoportique,67,0.07,0.8,0.3,0.1
165,Monastere de Bigua (maison de Tellus),Maison de la Basilique,155,0.16,1.9,0.7,0.3
166,Monastere de Bigua (maison de Tellus),Maison de la Volière,127,0.13,1.5,0.6,0.3
167,Monastere de Bigua (maison de Tellus),Maison de la Rotonde,111,0.11,1.3,0.5,0.2
168,Monastere de Bigua (maison de Tellus),Maison des Lions,189,0.19,2.3,0.9,0.4
169,Monastere de Bigua (maison de Tellus),Nécropole punique (Parc des villas romaines),130,0.13,1.6,0.6,0.3
170,Monastere de Bigua (maison de Tellus),Nymphée,47,0.05,0.6,0.2,0.1
171,Monastere de Bigua (maison de Tellus),Muraille de Thedose,399,0.4,4.8,1.8,0.8
172,Monastere de Bigua (maison de Tellus),Parc des thermes d'Antonin,312,0.31,3.7,1.4,0.6
173,Monastere de Bigua (maison de Tellus),Chapelle d’Asterius,262,0.26,3.1,1.2,0.5
174,Monastere de Bigua (maison de Tellus),Four punique,216,0.22,2.6,1.0,0.4
175,Monastere de Bigua (maison de Tellus),Maison de la cachette,181,0.18,2.2,0.8,0.4
176,Monastere de Bigua (maison de Tellus),Tombe de la Nécropole punique,262,0.26,3.1,1.2,0.5
177,Monastere de Bigua (maison de Tellus),Basiliques byzantines,204,0.2,2.5,0.9,0.4
178,Monastere de Bigua (maison de Tellus),Scholla,241,0.24,2.9,1.1,0.5
179,Monastere de Bigua (maison de Tellus),Maison de Dionysos,220,0.22,2.6,1.0,0.4
180,Monastere de Bigua (maison de Tellus),Nécropole punique (Parc des thermes d'antonin),264,0.26,3.2,1.2,0.5
181,Monastere de Bigua (maison de Tellus),Thermes d'Antonin,344,0.34,4.1,1.6,0.7
182,Monastere de Bigua (maison de Tellus),Latrines publiques,359,0.36,4.3,1.7,0.7
183,Monastere de Bigua (maison de Tellus),Quartier Magon,591,0.59,7.1,2.7,1.2
184,Monastere de Bigua (maison de Tellus),Tophet,1878,1.88,22.5,8.7,3.8
185,Monastere de Bigua (maison de Tellus),Ports puniques,1559,1.56,18.7,7.2,3.1
186,Monastere de Bigua (maison de Tellus),Port militaire,1451,1.45,17.4,6.7,2.9
187,Monastere de Bigua (maison de Tellus),Port marchand,1624,1.62,19.5,7.5,3.2
188,Monastere de Bigua (maison de Tellus),Ilot de l’Amirauté,1417,1.42,17.0,6.5,2.8
189,Monastere de Bigua (maison de Tellus),Temple,1432,1.43,17.2,6.6,2.9
190,Monastere de Bigua (maison de Tellus),Hangar,1440,1.44,17.3,6.6,2.9
191,Monastere de Bigua (maison de Tellus),Colline de Byrsa,889,0.89,10.7,4.1,1.8
192,Monastere de Bigua (maison de Tellus),Bibliotheque Tabularium,870,0.87,10.4,4.0,1.7
193,Monastere de Bigua (maison de Tellus),Temple prostyle,909,0.91,10.9,4.2,1.8
194,Monastere de Bigua (maison de Tellus),Grand Temple d'Esculape (d'Eshmoun),829,0.83,10.0,3.8,1.7
195,Monastere de Bigua (maison de Tellus),Emplacement probable de la Basilique judiciaire,737,0.74,8.8,3.4,1.5
196,Monastere de Bigua (maison de Tellus),"Absides ""Beule"" en contrebas",724,0.72,8.7,3.3,1.4
197,Monastere de Bigua (maison de Tellus),Tombeaux puniques,903,0.9,10.8,4.2,1.8
198,Monastere de Bigua (maison de Tellus),Musee national,779,0.78,9.4,3.6,1.6
199,Monastere de Bigua (maison de Tellus),Tombeau punique (Ariche),867,0.87,10.4,4.0,1.7
200,Monastere de Bigua (maison de Tellus),Emplacement de la Chapelle Saint Louis,739,0.74,8.9,3.4,1.5
201,Monastere de Bigua (maison de Tellus),Emplacement probable de la curie,862,0.86,10.3,4.0,1.7
202,Monastere de Bigua (maison de Tellus),Quartier Punique (Quartier Hannibal),840,0.84,10.1,3.9,1.7
203,Monastere de Bigua (maison de Tellus),Cathedrale Saint Louis,842,0.84,10.1,3.9,1.7
204,Monastere de Bigua (maison de Tellus),Beit El Hikma,570,0.57,6.8,2.6,1.1
205,Monastere de Bigua (maison de Tellus),Musee Oceanographique (Dar El Hout),1594,1.59,19.1,7.4,3.2
206,Monastere de Bigua (maison de Tellus),Amphitheatre De  Carthage,1493,1.49,17.9,6.9,3.0
207,Monastere de Bigua (maison de Tellus),Basilique Damous Karita,541,0.54,6.5,2.5,1.1
208,Monastere de Bigua (maison de Tellus),Rotonde ( Rotonde de Damous El Karita),483,0.48,5.8,2.2,1.0
209,Monastere de Bigua (maison de Tellus),Basilique Maiorum,1207,1.21,14.5,5.6,2.4
210,Monastere de Bigua (maison de Tellus),Basilique Saint Cyprien,945,0.94,11.3,4.4,1.9
211,Monastere de Bigua (maison de Tellus),Musee Paleochretien Basilique de Cartagena,1108,1.11,13.3,5.1,2.2
212,Monastere de Bigua (maison de Tellus),Citernes de la Malaga,1175,1.18,14.1,5.4,2.4
213,Monastere de Bigua (maison de Tellus),Cirque,1626,1.63,19.5,7.5,3.3
214,Monastere de Bigua (maison de Tellus),Edifice à colonnes (Jockey club de Carthage),561,0.56,6.7,2.6,1.1
215,Monastere de Bigua (maison de Tellus),Maison de la chasse aux sangliers,348,0.35,4.2,1.6,0.7
216,Monastere de Bigua (maison de Tellus),Odeon,248,0.25,3.0,1.1,0.5
217,Monastere de Bigua (maison de Tellus),Mosquée Imam Malek Ibn Anas,345,0.34,4.1,1.6,0.7
218,Monastere de Bigua (maison de Tellus),Monument circulaire,438,0.44,5.3,2.0,0.9
219,Monastere de Bigua (maison de Tellus),Monument circulaire(Martyrium),353,0.35,4.2,1.6,0.7
220,Monastere de Bigua (maison de Tellus),Basilique chretienne,425,0.43,5.1,2.0,0.9
221,Monastere de Bigua (maison de Tellus),Triconque,381,0.38,4.6,1.8,0.8
222,Monastere de Bigua (maison de Tellus),Basilique Bir Ftouha,1396,1.4,16.8,6.4,2.8
223,Monastere de Bigua (maison de Tellus),Maison de la course de chars,510,0.51,6.1,2.4,1.0
224,Monastere de Bigua (maison de Tellus),Monument a absides,523,0.52,6.3,2.4,1.0
225,Monastere de Bigua (maison de Tellus),Basilique Bir Messaouda,791,0.79,9.5,3.7,1.6
226,Monastere de Bigua (maison de Tellus),Quartier Didon,709,0.71,8.5,3.3,1.4
227,Monastere de Bigua (maison de Tellus),Temple d'Apollon,734,0.73,8.8,3.4,1.5
228,Monastere de Bigua (maison de Tellus),Citernes Dar Saniet,1236,1.24,14.8,5.7,2.5
229,Monastere de Bigua (maison de Tellus),Crypte archeologique,645,0.65,7.7,3.0,1.3
230,Monastere de Bigua (maison de Tellus),Chapelle sainte monique,842,0.84,10.1,3.9,1.7
231,Monastere de Bigua (maison de Tellus),Palais Essaada,2634,2.63,31.6,12.2,5.3
232,Monastere de Bigua (maison de Tellus),Palais Abdellia,2685,2.68,32.2,12.4,5.4
233,Monastere de Bigua (maison de Tellus),Arrondissement de la Marsa Medina,3092,3.09,37.1,14.3,6.2
234,Monastere de Bigua (maison de Tellus),Palais Ahmed Bey,2963,2.96,35.6,13.7,5.9
235,Monastere de Bigua (maison de Tellus),Cafe Houas,2936,2.94,35.2,13.5,5.9
236,Monastere de Bigua (maison de Tellus),Cafe Safsaf,2955,2.95,35.5,13.6,5.9
237,Monastere de Bigua (maison de Tellus),Kobbet el Houwa,3259,3.26,39.1,15.0,6.5
238,Monastere de Bigua (maison de Tellus),Cafe El Hafsi,2978,2.98,35.7,13.7,6.0
239,Monastere de Bigua (maison de Tellus),Palais Ksar Ettej,2786,2.79,33.4,12.9,5.6
240,Monastere de Bigua (maison de Tellus),Le Vieux Souk,2896,2.9,34.8,13.4,5.8
241,Monastere de Bigua (maison de Tellus),Les vistiges de plage d'amilcar (carthage),1437,1.44,17.2,6.6,2.9
242,Monastere de Bigua (maison de Tellus),Acropolium de Carthage,834,0.83,10.0,3.8,1.7
243,Maison du Cryptoportique,Theatre,294,0.29,3.5,1.4,0.6
244,Maison du Cryptoportique,Parc des villas romaines,82,0.08,1.0,0.4,0.2
245,Maison du Cryptoportique,Monastere de Bigua (maison de Tellus),67,0.07,0.8,0.3,0.1
246,Maison du Cryptoportique,Maison de la Basilique,88,0.09,1.1,0.4,0.2
247,Maison du Cryptoportique,Maison de la Volière,65,0.07,0.8,0.3,0.1
248,Maison du Cryptoportique,Maison de la Rotonde,64,0.06,0.8,0.3,0.1
249,Maison du Cryptoportique,Maison des Lions,159,0.16,1.9,0.7,0.3
250,Maison du Cryptoportique,Nécropole punique (Parc des villas romaines),86,0.09,1.0,0.4,0.2
251,Maison du Cryptoportique,Nymphée,67,0.07,0.8,0.3,0.1
252,Maison du Cryptoportique,Muraille de Thedose,332,0.33,4.0,1.5,0.7
253,Maison du Cryptoportique,Parc des thermes d'Antonin,379,0.38,4.5,1.7,0.8
254,Maison du Cryptoportique,Chapelle d’Asterius,329,0.33,3.9,1.5,0.7
255,Maison du Cryptoportique,Four punique,281,0.28,3.4,1.3,0.6
256,Maison du Cryptoportique,Maison de la cachette,242,0.24,2.9,1.1,0.5
257,Maison du Cryptoportique,Tombe de la Nécropole punique,326,0.33,3.9,1.5,0.7
258,Maison du Cryptoportique,Basiliques byzantines,270,0.27,3.2,1.2,0.5
259,Maison du Cryptoportique,Scholla,307,0.31,3.7,1.4,0.6
260,Maison du Cryptoportique,Maison de Dionysos,286,0.29,3.4,1.3,0.6
261,Maison du Cryptoportique,Nécropole punique (Parc des thermes d'antonin),328,0.33,3.9,1.5,0.7
262,Maison du Cryptoportique,Thermes d'Antonin,406,0.41,4.9,1.9,0.8
263,Maison du Cryptoportique,Latrines publiques,425,0.43,5.1,2.0,0.9
264,Maison du Cryptoportique,Quartier Magon,654,0.65,7.8,3.0,1.3
265,Maison du Cryptoportique,Tophet,1923,1.92,23.1,8.9,3.8
266,Maison du Cryptoportique,Ports puniques,1608,1.61,19.3,7.4,3.2
267,Maison du Cryptoportique,Port militaire,1499,1.5,18.0,6.9,3.0
268,Maison du Cryptoportique,Port marchand,1673,1.67,20.1,7.7,3.3
269,Maison du Cryptoportique,Ilot de l’Amirauté,1464,1.46,17.6,6.8,2.9
270,Maison du Cryptoportique,Temple,1479,1.48,17.8,6.8,3.0
271,Maison du Cryptoportique,Hangar,1486,1.49,17.8,6.9,3.0
272,Maison du Cryptoportique,Colline de Byrsa,895,0.89,10.7,4.1,1.8
273,Maison du Cryptoportique,Bibliotheque Tabularium,880,0.88,10.6,4.1,1.8
274,Maison du Cryptoportique,Temple prostyle,921,0.92,11.0,4.2,1.8
275,Maison du Cryptoportique,Grand Temple d'Esculape (d'Eshmoun),843,0.84,10.1,3.9,1.7
276,Maison du Cryptoportique,Emplacement probable de la Basilique judiciaire,754,0.75,9.1,3.5,1.5
277,Maison du Cryptoportique,"Absides ""Beule"" en contrebas",742,0.74,8.9,3.4,1.5
278,Maison du Cryptoportique,Tombeaux puniques,916,0.92,11.0,4.2,1.8
279,Maison du Cryptoportique,Musee national,789,0.79,9.5,3.6,1.6
280,Maison du Cryptoportique,Tombeau punique (Ariche),875,0.87,10.5,4.0,1.7
281,Maison du Cryptoportique,Emplacement de la Chapelle Saint Louis,755,0.75,9.1,3.5,1.5
282,Maison du Cryptoportique,Emplacement probable de la curie,869,0.87,10.4,4.0,1.7
283,Maison du Cryptoportique,Quartier Punique (Quartier Hannibal),855,0.86,10.3,3.9,1.7
284,Maison du Cryptoportique,Cathedrale Saint Louis,844,0.84,10.1,3.9,1.7
285,Maison du Cryptoportique,Beit El Hikma,634,0.63,7.6,2.9,1.3
286,Maison du Cryptoportique,Musee Oceanographique (Dar El Hout),1644,1.64,19.7,7.6,3.3
287,Maison du Cryptoportique,Amphitheatre De  Carthage,1471,1.47,17.7,6.8,2.9
288,Maison du Cryptoportique,Basilique Damous Karita,478,0.48,5.7,2.2,1.0
289,Maison du Cryptoportique,Rotonde ( Rotonde de Damous El Karita),417,0.42,5.0,1.9,0.8
290,Maison du Cryptoportique,Basilique Maiorum,1151,1.15,13.8,5.3,2.3
291,Maison du Cryptoportique,Basilique Saint Cyprien,907,0.91,10.9,4.2,1.8
292,Maison du Cryptoportique,Musee Paleochretien Basilique de Cartagena,1148,1.15,13.8,5.3,2.3
293,Maison du Cryptoportique,Citernes de la Malaga,1137,1.14,13.6,5.2,2.3
294,Maison du Cryptoportique,Cirque,1628,1.63,19.5,7.5,3.3
295,Maison du Cryptoportique,Edifice à colonnes (Jockey club de Carthage),540,0.54,6.5,2.5,1.1
296,Maison du Cryptoportique,Maison de la chasse aux sangliers,342,0.34,4.1,1.6,0.7
297,Maison du Cryptoportique,Odeon,182,0.18,2.2,0.8,0.4
298,Maison du Cryptoportique,Mosquée Imam Malek Ibn Anas,287,0.29,3.4,1.3,0.6
299,Maison du Cryptoportique,Monument circulaire,402,0.4,4.8,1.9,0.8
300,Maison du Cryptoportique,Monument circulaire(Martyrium),316,0.32,3.8,1.5,0.6
301,Maison du Cryptoportique,Basilique chretienne,385,0.38,4.6,1.8,0.8
302,Maison du Cryptoportique,Triconque,342,0.34,4.1,1.6,0.7
303,Maison du Cryptoportique,Basilique Bir Ftouha,1329,1.33,16.0,6.1,2.7
304,Maison du Cryptoportique,Maison de la course de chars,529,0.53,6.3,2.4,1.1
305,Maison du Cryptoportique,Monument a absides,538,0.54,6.5,2.5,1.1
306,Maison du Cryptoportique,Basilique Bir Messaouda,835,0.83,10.0,3.9,1.7
307,Maison du Cryptoportique,Quartier Didon,758,0.76,9.1,3.5,1.5
308,Maison du Cryptoportique,Temple d'Apollon,782,0.78,9.4,3.6,1.6
309,Maison du Cryptoportique,Citernes Dar Saniet,1203,1.2,14.4,5.6,2.4
310,Maison du Cryptoportique,Crypte archeologique,647,0.65,7.8,3.0,1.3
311,Maison du Cryptoportique,Chapelle sainte monique,822,0.82,9.9,3.8,1.6
312,Maison du Cryptoportique,Palais Essaada,2571,2.57,30.8,11.9,5.1
313,Maison du Cryptoportique,Palais Abdellia,2619,2.62,31.4,12.1,5.2
314,Maison du Cryptoportique,Arrondissement de la Marsa Medina,3028,3.03,36.3,14.0,6.1
315,Maison du Cryptoportique,Palais Ahmed Bey,2901,2.9,34.8,13.4,5.8
316,Maison du Cryptoportique,Cafe Houas,2874,2.87,34.5,13.3,5.7
317,Maison du Cryptoportique,Cafe Safsaf,2893,2.89,34.7,13.4,5.8
318,Maison du Cryptoportique,Kobbet el Houwa,3199,3.2,38.4,14.8,6.4
319,Maison du Cryptoportique,Cafe El Hafsi,2918,2.92,35.0,13.5,5.8
320,Maison du Cryptoportique,Palais Ksar Ettej,2724,2.72,32.7,12.6,5.4
321,Maison du Cryptoportique,Le Vieux Souk,2835,2.83,34.0,13.1,5.7
322,Maison du Cryptoportique,Les vistiges de plage d'amilcar (carthage),1404,1.4,16.8,6.5,2.8
323,Maison du Cryptoportique,Acropolium de Carthage,836,0.84,10.0,3.9,1.7
