user_id;preference_fonction;preference_epoque;mobilite;transport;budget_max;duree_visite_min;zone;type_tarif;nb_pois;liste_pois
user_68;culturel, habitation, religieux;Coloniale;normale;à pied;41;97;Carthage;étranger;6;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Quartier Magon | Beit El Hikma
user_69;religieux;Coloniale;normale;taxi;154;230;Carthage;enseignant;7;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | , "
user_70;culturel, Equipement, musee;Coloniale;normale;taxi;138;229;Carthage;resident;4;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa
user_71;Equipement, religieux;Coloniale, Punique;normale;vélo;53;186;Carthage;enfant;3;Ports puniques | Musee Oceanographique (Dar El Hout)
user_72;culturel;Coloniale, Beylicale Houssainite;réduite;à pied;37;217;Carthage;enseignant;5;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Beit El Hikma
user_73;habitation, musee, culturel;Beylicale Houssainite, Romaine;réduite;taxi;149;206;Carthage;retraité;6;Beit El Hikma | Parc des villas romaines | Quartier Magon | Theatre | La colline de Byrsa | Ports puniques
user_74;Equipement, culturel;Romaine, Beylicale Houssainite;réduite;voiture;127;100;Carthage;resident;9;Theatre | Ports puniques | Parc des villas romaines | La colline de Byrsa | Quartier Magon | Beit El Hikma | Tophet | Musee Oceanographique (Dar El Hout)
user_75;culturel;Romaine;normale;vélo;86;165;Carthage;enseignant;7;Theatre | La colline de Byrsa | Parc des villas romaines | Tophet | Quartier Magon | Ports puniques | Beit El Hikma
user_76;religieux, Equipement;Coloniale, Punique;normale;taxi;135;203;Carthage;retraité;4;"Musee Oceanographique (Dar El Hout) | antonin)"",  | , "
user_78;habitation, musee, culturel;Coloniale, Romaine;réduite;voiture;100;132;Carthage;resident;7;Musee Oceanographique (Dar El Hout) | Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | La colline de Byrsa | Ports puniques
user_80;musee;Romaine;normale;taxi;176;116;Carthage;enseignant;9;Theatre | Parc des villas romaines | Quartier Magon | Musee Oceanographique (Dar El Hout) | Ports puniques | La colline de Byrsa | Tophet | Beit El Hikma
user_81;culturel;Beylicale Houssainite, Punique, Coloniale;réduite;vélo;73;100;Carthage;enseignant;5;Tophet | La colline de Byrsa | Beit El Hikma | Ports puniques | Quartier Magon
user_85;culturel, religieux;Coloniale;normale;à pied;32;93;Carthage;retraité;4;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa
user_86;Equipement;Beylicale Houssainite, Coloniale;normale;vélo;79;208;Carthage;enseignant;6;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Quartier Magon | Tophet | Parc des villas romaines
user_87;musee, culturel;Romaine, Coloniale;réduite;voiture;95;186;Carthage;étranger;5;Theatre | Musee Oceanographique (Dar El Hout) | Parc des villas romaines | La colline de Byrsa | Quartier Magon
user_88;Equipement, habitation, musee;Romaine;réduite;vélo;62;108;Carthage;resident;3;Parc des villas romaines | Ports puniques | Quartier Magon
user_89;musee, culturel, habitation;Coloniale, Beylicale Houssainite;réduite;à pied;21;188;Carthage;étudiant;3;Musee Oceanographique (Dar El Hout) | Beit El Hikma | Tophet
user_91;culturel, musee;Beylicale Houssainite;réduite;vélo;99;156;Carthage;retraité;9;Beit El Hikma | Tophet | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Parc des villas romaines
user_92;religieux, Equipement;Beylicale Houssainite;normale;taxi;148;120;Carthage;étudiant;6;"Beit El Hikma | antonin)"",  | ,  | ,  | , "
user_94;habitation;Punique, Coloniale, Beylicale Houssainite;réduite;vélo;68;224;Carthage;étranger;5;Quartier Magon | Parc des villas romaines | Ports puniques | Tophet | Beit El Hikma
user_95;habitation;Punique, Romaine;normale;taxi;133;233;Carthage;étudiant;3;Quartier Magon | Parc des villas romaines | Ports puniques
user_100;religieux;Punique;normale;vélo;69;122;Carthage;étranger;4;"antonin)"",  | ,  | , "
user_101;habitation;Coloniale, Beylicale Houssainite;réduite;à pied;33;93;Carthage;enfant;5;Beit El Hikma | Musee Oceanographique (Dar El Hout) | Quartier Magon | Parc des villas romaines | Ports puniques
user_104;culturel, habitation;Romaine;réduite;voiture;80;137;Carthage;enseignant;3;Theatre | Parc des villas romaines | La colline de Byrsa
user_105;habitation, religieux;Coloniale;réduite;à pied;18;121;Carthage;étudiant;3;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma
user_106;habitation, Equipement, culturel;Romaine, Coloniale, Beylicale Houssainite;normale;taxi;153;161;Carthage;enseignant;7;Parc des villas romaines | Quartier Magon | Theatre | Ports puniques | Beit El Hikma | La colline de Byrsa | Musee Oceanographique (Dar El Hout)
user_107;culturel, Equipement;Punique, Romaine, Beylicale Houssainite;normale;à pied;36;237;Carthage;retraité;4;Tophet | Ports puniques | La colline de Byrsa | Theatre
user_110;religieux, Equipement, musee;Punique;normale;voiture;144;158;Carthage;étranger;9;"Ports puniques | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_111;musee;Romaine;normale;vélo;59;180;Carthage;enseignant;3;Theatre | Parc des villas romaines | Quartier Magon
user_112;religieux, musee;Beylicale Houssainite, Punique, Coloniale;réduite;taxi;120;200;Carthage;étranger;3;"antonin)"",  | , "
user_113;musee;Romaine, Coloniale;réduite;vélo;74;181;Carthage;enseignant;5;Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Quartier Magon | Ports puniques
user_114;culturel, Equipement;Beylicale Houssainite, Coloniale;réduite;voiture;105;212;Carthage;étranger;7;Beit El Hikma | Tophet | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon
user_115;musee, culturel;Coloniale, Romaine, Beylicale Houssainite;normale;à pied;46;107;Carthage;retraité;5;Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | La colline de Byrsa | Quartier Magon
user_116;culturel, habitation, musee;Punique, Romaine;normale;à pied;45;97;Carthage;resident;5;Tophet | Quartier Magon | La colline de Byrsa | Parc des villas romaines | Ports puniques
user_118;religieux, musee;Punique, Beylicale Houssainite, Coloniale;réduite;vélo;78;105;Carthage;resident;6;"antonin)"",  | ,  | ,  | ,  | , "
user_119;musee, habitation;Romaine, Coloniale;normale;voiture;131;130;Carthage;resident;9;Parc des villas romaines | Quartier Magon | Musee Oceanographique (Dar El Hout) | Theatre | Ports puniques | La colline de Byrsa | Beit El Hikma | Tophet
user_120;Equipement, culturel;Coloniale, Beylicale Houssainite, Punique;réduite;voiture;85;228;Carthage;retraité;5;Ports puniques | Musee Oceanographique (Dar El Hout) | Beit El Hikma | Tophet | La colline de Byrsa
user_121;culturel, religieux;Punique;normale;vélo;81;188;Carthage;resident;5;"Tophet | La colline de Byrsa | antonin)"",  | , "
user_123;culturel, habitation;Beylicale Houssainite;réduite;taxi;124;91;Carthage;resident;3;Beit El Hikma | Tophet | Theatre
user_124;religieux, musee, Equipement;Coloniale, Romaine;normale;taxi;163;196;Carthage;retraité;7;"Musee Oceanographique (Dar El Hout) | Theatre | Ports puniques | Parc des villas romaines | antonin)"",  | , "
user_125;habitation;Romaine, Beylicale Houssainite, Punique;normale;taxi;153;185;Carthage;enfant;6;Parc des villas romaines | Quartier Magon | Beit El Hikma | Theatre | Ports puniques | La colline de Byrsa
user_126;Equipement, culturel, habitation;Beylicale Houssainite;normale;taxi;143;140;Carthage;étranger;5;Beit El Hikma | Ports puniques | Tophet | Theatre | La colline de Byrsa
user_128;musee, religieux;Punique, Romaine;réduite;taxi;193;91;Carthage;enfant;9;"antonin)"",  | ,  | ,  | ,  | ,  | ,  | ,  | , "
user_129;habitation;Coloniale;réduite;vélo;88;225;Carthage;enseignant;7;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet | Theatre
user_130;musee, habitation;Coloniale, Romaine, Beylicale Houssainite;normale;voiture;136;126;Carthage;retraité;9;Musee Oceanographique (Dar El Hout) | Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques | La colline de Byrsa | Tophet
user_131;culturel, religieux, Equipement;Punique;réduite;vélo;67;124;Carthage;enfant;4;"Tophet | Ports puniques | antonin)"", "
user_132;culturel, Equipement, religieux;Romaine;normale;taxi;179;147;Carthage;enfant;9;Theatre | La colline de Byrsa | Parc des villas romaines | Ports puniques | Tophet | Quartier Magon | Beit El Hikma | Musee Oceanographique (Dar El Hout)
user_133;musee, Equipement, habitation;Romaine, Beylicale Houssainite;normale;à pied;28;205;Carthage;étranger;3;Parc des villas romaines | Ports puniques | Theatre
user_134;religieux, habitation, musee;Beylicale Houssainite, Punique, Coloniale;normale;voiture;147;120;Carthage;étudiant;9;"Beit El Hikma | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_136;musee, culturel;Romaine;normale;vélo;63;240;Carthage;resident;3;Theatre | Parc des villas romaines | La colline de Byrsa
user_137;religieux, culturel, Equipement;Coloniale;normale;vélo;54;236;Carthage;étranger;3;"Musee Oceanographique (Dar El Hout) | antonin)"", "
user_138;culturel, musee;Romaine, Beylicale Houssainite, Coloniale;normale;taxi;149;177;Carthage;étudiant;6;Theatre | La colline de Byrsa | Parc des villas romaines | Beit El Hikma | Quartier Magon | Ports puniques
user_142;religieux, culturel, Equipement;Punique, Romaine, Beylicale Houssainite;réduite;taxi;159;101;Carthage;étudiant;6;"Tophet | Ports puniques | antonin)"",  | ,  | , "
user_145;culturel;Coloniale, Punique, Romaine;réduite;à pied;44;120;Carthage;enfant;5;Tophet | La colline de Byrsa | Theatre | Musee Oceanographique (Dar El Hout) | Ports puniques
user_146;musee, culturel, religieux;Romaine, Beylicale Houssainite, Punique;réduite;vélo;67;120;Carthage;resident;4;Theatre | La colline de Byrsa | Parc des villas romaines | Tophet
user_147;religieux;Beylicale Houssainite;réduite;à pied;43;135;Carthage;retraité;5;"Beit El Hikma | antonin)"",  | ,  | , "
user_149;habitation, culturel, musee;Coloniale, Punique;normale;taxi;150;198;Carthage;étudiant;7;Musee Oceanographique (Dar El Hout) | Quartier Magon | Tophet | Parc des villas romaines | La colline de Byrsa | Beit El Hikma | Ports puniques
user_150;culturel, habitation, religieux;Beylicale Houssainite, Punique;réduite;taxi;185;185;Carthage;enfant;9;"Beit El Hikma | Tophet | La colline de Byrsa | Quartier Magon | Parc des villas romaines | Theatre | Ports puniques | antonin)"", "
user_151;culturel;Coloniale, Punique, Beylicale Houssainite;normale;vélo;89;209;Carthage;étranger;8;"Tophet | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Theatre | antonin)"", "
user_152;culturel;Romaine, Punique;réduite;à pied;30;163;Carthage;retraité;3;Theatre | La colline de Byrsa | Tophet
user_154;Equipement;Coloniale;réduite;vélo;77;209;Carthage;retraité;6;Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Tophet | Beit El Hikma | Parc des villas romaines
user_155;habitation, religieux, Equipement;Romaine, Beylicale Houssainite, Punique;réduite;voiture;121;186;Carthage;étranger;9;"Parc des villas romaines | Quartier Magon | Beit El Hikma | Ports puniques | Theatre | La colline de Byrsa | antonin)"",  | , "
user_156;religieux, musee, habitation;Beylicale Houssainite;réduite;vélo;79;232;Carthage;retraité;6;"Beit El Hikma | antonin)"",  | ,  | ,  | , "
user_157;musee;Beylicale Houssainite, Punique;normale;taxi;180;222;Carthage;enfant;9;"Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Tophet | Quartier Magon | antonin)"",  | ,  | , "
user_158;Equipement;Coloniale;normale;à pied;28;104;Carthage;retraité;3;Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon
user_159;musee, religieux;Punique;normale;vélo;77;160;Carthage;enseignant;5;"antonin)"",  | ,  | ,  | , "
user_160;habitation, musee, culturel;Punique, Beylicale Houssainite;réduite;voiture;127;188;Carthage;enseignant;9;"Quartier Magon | Tophet | Beit El Hikma | Parc des villas romaines | Ports puniques | La colline de Byrsa | antonin)"",  | , "
user_161;habitation, Equipement, musee;Coloniale;réduite;vélo;86;160;Carthage;resident;7;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet | Theatre
user_162;habitation, religieux, Equipement;Coloniale;réduite;taxi;153;183;Carthage;enfant;7;"Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | antonin)"", "
user_164;Equipement;Romaine;normale;taxi;154;223;Carthage;resident;7;Ports puniques | Theatre | Parc des villas romaines | Quartier Magon | La colline de Byrsa | Tophet | Beit El Hikma
user_167;culturel;Coloniale, Beylicale Houssainite;réduite;taxi;136;154;Carthage;resident;5;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Beit El Hikma
user_168;culturel;Punique;réduite;taxi;154;186;Carthage;enfant;6;"Tophet | La colline de Byrsa | Ports puniques | antonin)"",  | , "
user_169;habitation;Beylicale Houssainite, Romaine;normale;taxi;197;149;Carthage;enseignant;9;Beit El Hikma | Parc des villas romaines | Quartier Magon | Theatre | Ports puniques | La colline de Byrsa | Tophet | Musee Oceanographique (Dar El Hout)
user_171;religieux;Coloniale, Beylicale Houssainite;réduite;à pied;36;146;Carthage;étudiant;5;"Musee Oceanographique (Dar El Hout) | Beit El Hikma | antonin)"",  | , "
user_172;habitation, musee, religieux;Coloniale;normale;voiture;66;188;Carthage;enfant;3;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma
user_174;Equipement, musee, habitation;Beylicale Houssainite;normale;taxi;133;226;Carthage;resident;5;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Quartier Magon | Parc des villas romaines
user_175;habitation;Punique, Romaine, Beylicale Houssainite;normale;vélo;99;148;Carthage;enfant;9;"Quartier Magon | Parc des villas romaines | Ports puniques | Tophet | Beit El Hikma | La colline de Byrsa | antonin)"",  | , "
user_178;culturel, musee;Coloniale;réduite;taxi;126;126;Carthage;resident;3;Musee Oceanographique (Dar El Hout) | Tophet | Theatre
user_179;culturel, habitation, religieux;Romaine, Coloniale, Beylicale Houssainite;réduite;voiture;90;168;Carthage;étranger;5;Theatre | Parc des villas romaines | Quartier Magon | La colline de Byrsa | Beit El Hikma
user_180;habitation, Equipement, musee;Punique, Coloniale, Beylicale Houssainite;réduite;à pied;44;164;Carthage;étudiant;6;Ports puniques | Quartier Magon | Parc des villas romaines | Tophet | Beit El Hikma | Musee Oceanographique (Dar El Hout)
user_181;Equipement, culturel, religieux;Punique, Romaine, Beylicale Houssainite;normale;voiture;141;135;Carthage;étranger;9;"Ports puniques | Tophet | La colline de Byrsa | Theatre | antonin)"",  | ,  | ,  | , "
user_183;culturel, religieux;Beylicale Houssainite, Punique;normale;taxi;119;98;Carthage;retraité;3;Tophet | Beit El Hikma | La colline de Byrsa
user_184;culturel, habitation;Coloniale, Punique, Beylicale Houssainite;normale;voiture;103;154;Carthage;étudiant;7;Tophet | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Quartier Magon | Ports puniques | Beit El Hikma | Parc des villas romaines
user_185;habitation, Equipement, culturel;Beylicale Houssainite;réduite;taxi;168;138;Carthage;enfant;9;Beit El Hikma | Quartier Magon | Parc des villas romaines | Ports puniques | Tophet | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout)
user_186;religieux, habitation;Coloniale, Romaine;normale;taxi;130;116;Carthage;enseignant;3;Musee Oceanographique (Dar El Hout) | Parc des villas romaines | Quartier Magon
user_187;musee, religieux;Coloniale, Beylicale Houssainite;réduite;vélo;60;187;Carthage;retraité;4;Musee Oceanographique (Dar El Hout) | Beit El Hikma | Ports puniques | Quartier Magon
user_190;Equipement, habitation, culturel;Beylicale Houssainite, Punique;réduite;taxi;180;179;Carthage;étudiant;9;"Beit El Hikma | Ports puniques | Quartier Magon | Tophet | Parc des villas romaines | La colline de Byrsa | antonin)"",  | , "
user_193;culturel, habitation;Coloniale, Romaine;normale;vélo;72;137;Carthage;retraité;5;Theatre | Musee Oceanographique (Dar El Hout) | Parc des villas romaines | La colline de Byrsa | Quartier Magon
user_196;Equipement, musee, habitation;Punique, Beylicale Houssainite;normale;taxi;192;222;Carthage;resident;9;"Ports puniques | Quartier Magon | Tophet | antonin)"",  | ,  | ,  | ,  | , "
user_197;culturel;Beylicale Houssainite, Romaine, Punique;normale;vélo;85;157;Carthage;étranger;7;Theatre | Beit El Hikma | La colline de Byrsa | Tophet | Parc des villas romaines | Ports puniques | Quartier Magon
user_201;culturel, Equipement;Romaine;réduite;vélo;59;194;Carthage;resident;3;Theatre | La colline de Byrsa | Parc des villas romaines
user_203;Equipement, habitation;Beylicale Houssainite, Coloniale, Punique;réduite;taxi;199;140;Carthage;étranger;9;"Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Quartier Magon | Parc des villas romaines | Tophet | La colline de Byrsa | antonin)"", "
user_204;musee, religieux, Equipement;Coloniale;normale;voiture;126;101;Carthage;resident;9;"Musee Oceanographique (Dar El Hout) | Ports puniques | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_206;religieux, culturel;Romaine, Coloniale, Punique;réduite;à pied;46;125;Carthage;enfant;5;Theatre | Parc des villas romaines | La colline de Byrsa | Quartier Magon
user_207;culturel, habitation, religieux;Beylicale Houssainite;normale;taxi;125;92;Carthage;enfant;3;Beit El Hikma | Tophet | Theatre
user_208;musee, habitation;Beylicale Houssainite, Coloniale, Punique;normale;vélo;98;219;Carthage;resident;9;"Beit El Hikma | Musee Oceanographique (Dar El Hout) | Quartier Magon | Ports puniques | Parc des villas romaines | Tophet | La colline de Byrsa | antonin)"", "
user_209;religieux, Equipement;Coloniale, Beylicale Houssainite;réduite;vélo;50;213;Carthage;enseignant;3;Musee Oceanographique (Dar El Hout) | Beit El Hikma
user_210;religieux;Coloniale;réduite;taxi;131;206;Carthage;retraité;3;"Musee Oceanographique (Dar El Hout) | antonin)"", "
user_211;habitation;Romaine;normale;taxi;175;124;Carthage;resident;9;Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques | La colline de Byrsa | Tophet | Musee Oceanographique (Dar El Hout)
user_212;musee, habitation;Coloniale;réduite;taxi;144;162;Carthage;enseignant;6;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet
user_213;culturel, habitation;Beylicale Houssainite, Punique;réduite;voiture;113;162;Carthage;retraité;8;Beit El Hikma | Tophet | La colline de Byrsa | Quartier Magon | Theatre | Ports puniques | Parc des villas romaines
user_216;Equipement, musee;Romaine, Punique;normale;voiture;78;226;Carthage;étudiant;3;Ports puniques | Parc des villas romaines | Theatre
